SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3207 N Mt. Gilead Rd,Bloomington,IN,47408,515000,4,2.5,,2164,686070,1996,1,238,,Active,,,https://www.redfin.com/IN/Bloomington/3207-N-Mount-Gilead-Rd-47408/home/136271837,IRMLS,202337859,N,Y,39.199947,-86.4384008
MLS Listing,,Single Family Residential,4290 W Crestwood Dr,Bloomington,IN,47404,250000,4,3.0,Lynwood,2500,20473,1973,2,100,,Active,,,https://www.redfin.com/IN/Bloomington/4290-W-Crestwood-Dr-47404/home/136154163,IRMLS,202337828,N,Y,39.2190718,-86.5900051
MLS Listing,,Single Family Residential,3549 S Wickens St,Bloomington,IN,47403,340000,3,3.0,Highlands,3008,8276,2009,2,113,9,Active,,,https://www.redfin.com/IN/Bloomington/3549-S-Wickens-St-47403/home/136353999,MIBOR as Distributed by MLS Grid,21948562,N,Y,39.1283193,-86.5524333
MLS Listing,,Single Family Residential,1004 S Grant St,Bloomington,IN,47401,142900,1,1.0,Southeast Bloomington City,462,8276,1950,2,309,,Active,,,https://www.redfin.com/IN/Bloomington/1004-S-Grant-St-47401/home/136302394,IRMLS,202337787,N,Y,39.1552623,-86.5305591
MLS Listing,,Single Family Residential,611 S Clifton Ave,Bloomington,IN,47401,699000,3,2.0,,1736,11761,1953,2,403,,Active,,,https://www.redfin.com/IN/Bloomington/611-S-Clifton-Ave-47401/home/136407030,IRMLS,202337776,N,Y,39.1605392,-86.5094254
MLS Listing,,Townhouse,1250 W Adams Hill Cir #204,Bloomington,IN,47403,220000,3,2.5,No Subdivision,1280,650,2010,2,172,155,Active,,,https://www.redfin.com/IN/Bloomington/1250-W-Adams-Hill-Cir-47403/unit-204/home/136305372,MIBOR as Distributed by MLS Grid,21948517,N,Y,39.1429516,-86.5509755
MLS Listing,,Single Family Residential,6770 E State Road 46,Bloomington,IN,47401,329900,3,3.0,No Subdivision,2612,87120,1969,2,126,,Active,,,https://www.redfin.com/IN/Bloomington/6770-E-State-Road-46-47401/home/136143746,MIBOR as Distributed by MLS Grid,21948382,N,Y,39.1648825,-86.4294992
MLS Listing,,Single Family Residential,809 S Stull Ave,Bloomington,IN,47401,450000,3,2.0,Bryan Park,1864,8276,1950,2,241,,Active,,,https://www.redfin.com/IN/Bloomington/809-S-Stull-Ave-47401/home/136374500,IRMLS,202337726,N,Y,39.1588235,-86.5245176
MLS Listing,,Single Family Residential,9094 W State Road 45,Bloomington,IN,47403,129000,3,1.0,,2178,41382,1899,2,59,,Active,,,https://www.redfin.com/IN/Bloomington/9094-W-State-Road-45-47403/home/136165053,IRMLS,202337705,N,Y,39.090473,-86.666097
MLS Listing,,Single Family Residential,3912 W Woodmere Pl,Bloomington,IN,47403,274900,4,2.0,Wood Haven Estates / Woodhaven E,1530,9148,1990,3,180,,Active,,,https://www.redfin.com/IN/Bloomington/3912-S-Woodmere-Pl-47403/home/136643494,IRMLS,202337629,N,Y,39.1294157,-86.5818579
MLS Listing,,Vacant Land,4070 S Rockport Rd,Bloomington,IN,47403,2195000,,,,,628571,,3,,,Active,,,https://www.redfin.com/IN/Bloomington/4070-S-Rockport-Rd-47403/home/136635996,IRMLS,202337622,N,Y,39.1209519,-86.5643032
MLS Listing,,Single Family Residential,2140 S Curry Pike,Bloomington,IN,47403,259900,2,1.0,,977,100188,1943,3,266,,Active,,,https://www.redfin.com/IN/Bloomington/2140-S-Curry-Pike-47403/home/136616301,IRMLS,202337601,N,Y,39.1471763,-86.5833838
MLS Listing,,Condo/Co-op,3734 E Villa Glen Ct,Bloomington,IN,47401,469000,3,2.0,Brighton Point Villas,2348,7841,2005,3,200,435,Active,,,https://www.redfin.com/IN/Bloomington/3734-E-Villa-Glen-Ct-47401/home/136441744,IRMLS,202337605,N,Y,39.156717,-86.483435
MLS Listing,,Single Family Residential,8785 W Graves Rd,Bloomington,IN,47403,325000,3,2.0,,1836,138739,2004,3,177,,Active,,,https://www.redfin.com/IN/Bloomington/8785-W-Graves-Rd-47403/home/136279158,IRMLS,202337580,N,Y,39.0581946,-86.6607345
MLS Listing,,Single Family Residential,7451 W Natalie Dr,Bloomington,IN,47404,335900,3,2.0,Prominence Place,1810,10019,2023,3,186,,Active,,,https://www.redfin.com/IN/Bloomington/7451-W-Natalie-Dr-47404/home/187982649,IRMLS,202337575,N,Y,39.2225147,-86.6352602
MLS Listing,,Single Family Residential,4502 N Mayo Ct,Bloomington,IN,47404,450000,4,2.5,Centennial Park,2552,19602,2023,4,176,,Active,,,https://www.redfin.com/IN/Bloomington/4502-N-Mayo-Ct-47404/home/180267341,IRMLS,202337297,N,Y,39.218146,-86.58297
MLS Listing,,Single Family Residential,5460 E James Rd,Bloomington,IN,47408,499500,4,2.5,Kingston Estates,3000,219542,1974,5,167,23,Active,,,https://www.redfin.com/IN/Bloomington/5460-E-James-Rd-47408/home/136211793,IRMLS,202337262,N,Y,39.1687571,-86.4401006
MLS Listing,,Single Family Residential,5980 S Empire Rd,Bloomington,IN,47401,280000,3,2.0,,2184,44431,1956,5,128,,Active,,,https://www.redfin.com/IN/Bloomington/5980-S-Empire-Rd-47401/home/136585637,IRMLS,202337240,N,Y,39.0937482,-86.5425798
MLS Listing,,Single Family Residential,7460 S Ketcham Rd,Bloomington,IN,47403,325000,5,2.0,No Subdivision,3286,87120,1930,5,99,,Active,,,https://www.redfin.com/IN/Bloomington/7460-S-Ketcham-Rd-47403/home/136339350,MIBOR as Distributed by MLS Grid,21947329,N,Y,39.0656286,-86.5650524
MLS Listing,,Single Family Residential,3431 S Justin Ct,Bloomington,IN,47401,1099000,5,4.5,Bryn Mawr,5760,43560,2011,5,191,,Active,,,https://www.redfin.com/IN/Bloomington/3431-S-Justin-Ct-47401/home/136642307,IRMLS,202336395,N,Y,39.128966,-86.4875323
MLS Listing,,Single Family Residential,1011 W Meadow Ln,Bloomington,IN,47404,269000,3,2.0,Fritz Terrace,1152,13068,1963,5,234,,Active,,,https://www.redfin.com/IN/Bloomington/1011-W-Meadow-Ln-47404/home/136502600,IRMLS,202337122,N,Y,39.1949225,-86.543953
MLS Listing,,Single Family Residential,3339 E Anderson Rd,Bloomington,IN,47408,710000,3,1.0,No Subdivision,1904,6184213,1958,6,373,,Active,,,https://www.redfin.com/IN/Bloomington/3339-E-Anderson-Rd-47408/home/185463829,MIBOR as Distributed by MLS Grid,21947445,N,Y,39.2639374,-86.4937518
MLS Listing,,Single Family Residential,5914 S Phyllis St,Bloomington,IN,47403,189900,3,1.0,Winding Brook,1068,8276,1993,6,178,,Active,,,https://www.redfin.com/IN/Bloomington/5914-S-Phyllis-St-47403/home/136593746,IRMLS,202336951,N,Y,39.1046522,-86.537799
MLS Listing,,Single Family Residential,4482 S Lake Monroe Dr,Bloomington,IN,47401,998500,4,4.5,The Over Look / The Overlook,4696,419047,2000,6,213,17,Active,,,https://www.redfin.com/IN/Bloomington/4482-S-Lake-Monroe-Dr-47401/home/136422570,IRMLS,202336737,N,Y,39.0868867,-86.4174455
MLS Listing,,Single Family Residential,1212 S Dunn St,Bloomington,IN,47401,589900,3,3.0,South Dunn,2737,4356,2006,8,216,,Active,,,https://www.redfin.com/IN/Bloomington/1212-S-Dunn-St-47401/home/136577169,IRMLS,202336839,N,Y,39.1528252,-86.5283088
MLS Listing,,Townhouse,2393 E Winding Brook Cir,Bloomington,IN,47401,198900,3,2.5,The Woodlands,1736,,1983,9,115,385,Active,,,https://www.redfin.com/IN/Bloomington/2393-E-Winding-Brook-Cir-47401/home/136655226,IRMLS,202336809,N,Y,39.1370066,-86.505295
MLS Listing,,Single Family Residential,3430 S Forrester St,Bloomington,IN,47401,899900,3,3.5,Verona Park,2402,7405,2023,9,375,49,Active,,,https://www.redfin.com/IN/Bloomington/3430-S-Forrester-St-47401/home/168295798,IRMLS,202336803,N,Y,39.133967,-86.4970249
MLS Listing,,Single Family Residential,288 E Sample Rd,Bloomington,IN,47408,450000,3,2.5,,2148,339768,1999,9,209,,Active,,,https://www.redfin.com/IN/Bloomington/288-E-Sample-Rd-47408/home/136344146,IRMLS,202336799,N,Y,39.2627327,-86.5185035
MLS Listing,,Single Family Residential,1704 S Pinestone Ct,Bloomington,IN,47401,209900,2,2.0,Pinestone,866,6098,1989,9,242,,Active,,,https://www.redfin.com/IN/Bloomington/1704-S-Pinestone-Ct-47401/home/136594583,IRMLS,202336758,N,Y,39.1485895,-86.5266119
MLS Listing,,Single Family Residential,1706 S Pinestone Ct,Bloomington,IN,47401,209900,2,2.0,Pinestone,816,6534,1989,9,257,,Active,,,https://www.redfin.com/IN/Bloomington/1706-S-Pinestone-Ct-47401/home/136134297,IRMLS,202336759,N,Y,39.1484485,-86.5266519
